Brasil e Grande Região;Trimestre;Nível de instrução;Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)
Sudeste;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;67
Sudeste;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;1182
Sudeste;2º trimestre 2018;Ensino fundamental completo ou equivalente;612
Sudeste;2º trimestre 2018;Ensino médio incompleto ou equivalente;822
Sudeste;2º trimestre 2018;Ensino médio completo ou equivalente;2453
Sudeste;2º trimestre 2018;Ensino superior incompleto ou equivalente;490
Sudeste;2º trimestre 2018;Ensino superior completo ou equivalente;648
Sudeste;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;55
Sudeste;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;1065
Sudeste;3º trimestre 2018;Ensino fundamental completo ou equivalente;598
Sudeste;3º trimestre 2018;Ensino médio incompleto ou equivalente;844
Sudeste;3º trimestre 2018;Ensino médio completo ou equivalente;2383
Sudeste;3º trimestre 2018;Ensino superior incompleto ou equivalente;423
Sudeste;3º trimestre 2018;Ensino superior completo ou equivalente;598
Sudeste;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;53
Sudeste;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;1071
Sudeste;4º trimestre 2018;Ensino fundamental completo ou equivalente;572
Sudeste;4º trimestre 2018;Ensino médio incompleto ou equivalente;743
Sudeste;4º trimestre 2018;Ensino médio completo ou equivalente;2324
Sudeste;4º trimestre 2018;Ensino superior incompleto ou equivalente;411
Sudeste;4º trimestre 2018;Ensino superior completo ou equivalente;612
Sudeste;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;59
Sudeste;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;1059
Sudeste;1º trimestre 2019;Ensino fundamental completo ou equivalente;585
Sudeste;1º trimestre 2019;Ensino médio incompleto ou equivalente;829
Sudeste;1º trimestre 2019;Ensino médio completo ou equivalente;2599
Sudeste;1º trimestre 2019;Ensino superior incompleto ou equivalente;456
Sudeste;1º trimestre 2019;Ensino superior completo ou equivalente;739
Sudeste;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;38
Sudeste;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;1038
Sudeste;2º trimestre 2019;Ensino fundamental completo ou equivalente;576
Sudeste;2º trimestre 2019;Ensino médio incompleto ou equivalente;757
Sudeste;2º trimestre 2019;Ensino médio completo ou equivalente;2440
Sudeste;2º trimestre 2019;Ensino superior incompleto ou equivalente;484
Sudeste;2º trimestre 2019;Ensino superior completo ou equivalente;646
Sudeste;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;41
Sudeste;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;1004
Sudeste;3º trimestre 2019;Ensino fundamental completo ou equivalente;539
Sudeste;3º trimestre 2019;Ensino médio incompleto ou equivalente;800
Sudeste;3º trimestre 2019;Ensino médio completo ou equivalente;2335
Sudeste;3º trimestre 2019;Ensino superior incompleto ou equivalente;451
Sudeste;3º trimestre 2019;Ensino superior completo ou equivalente;600
Sudeste;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;40
Sudeste;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;970
Sudeste;4º trimestre 2019;Ensino fundamental completo ou equivalente;508
Sudeste;4º trimestre 2019;Ensino médio incompleto ou equivalente;691
Sudeste;4º trimestre 2019;Ensino médio completo ou equivalente;2273
Sudeste;4º trimestre 2019;Ensino superior incompleto ou equivalente;423
Sudeste;4º trimestre 2019;Ensino superior completo ou equivalente;589
Sudeste;1º trimestre 2022;Sem instrução e menos de 1 ano de estudo;...
Sudeste;1º trimestre 2022;Ensino fundamental incompleto ou equivalente;...
Sudeste;1º trimestre 2022;Ensino fundamental completo ou equivalente;...
Sudeste;1º trimestre 2022;Ensino médio incompleto ou equivalente;...
Sudeste;1º trimestre 2022;Ensino médio completo ou equivalente;...
Sudeste;1º trimestre 2022;Ensino superior incompleto ou equivalente;...
Sudeste;1º trimestre 2022;Ensino superior completo ou equivalente;...
Sudeste;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;38
Sudeste;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;697
Sudeste;2º trimestre 2022;Ensino fundamental completo ou equivalente;379
Sudeste;2º trimestre 2022;Ensino médio incompleto ou equivalente;553
Sudeste;2º trimestre 2022;Ensino médio completo ou equivalente;1911
Sudeste;2º trimestre 2022;Ensino superior incompleto ou equivalente;319
Sudeste;2º trimestre 2022;Ensino superior completo ou equivalente;555
Sudeste;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;43
Sudeste;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;683
Sudeste;3º trimestre 2022;Ensino fundamental completo ou equivalente;332
Sudeste;3º trimestre 2022;Ensino médio incompleto ou equivalente;550
Sudeste;3º trimestre 2022;Ensino médio completo ou equivalente;1751
Sudeste;3º trimestre 2022;Ensino superior incompleto ou equivalente;315
Sudeste;3º trimestre 2022;Ensino superior completo ou equivalente;485
Sudeste;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;46
Sudeste;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;659
Sudeste;4º trimestre 2022;Ensino fundamental completo ou equivalente;299
Sudeste;4º trimestre 2022;Ensino médio incompleto ou equivalente;508
Sudeste;4º trimestre 2022;Ensino médio completo ou equivalente;1518
Sudeste;4º trimestre 2022;Ensino superior incompleto ou equivalente;249
Sudeste;4º trimestre 2022;Ensino superior completo ou equivalente;465
Sudeste;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;35
Sudeste;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;638
Sudeste;1º trimestre 2023;Ensino fundamental completo ou equivalente;333
Sudeste;1º trimestre 2023;Ensino médio incompleto ou equivalente;552
Sudeste;1º trimestre 2023;Ensino médio completo ou equivalente;1706
Sudeste;1º trimestre 2023;Ensino superior incompleto ou equivalente;266
Sudeste;1º trimestre 2023;Ensino superior completo ou equivalente;542
Sudeste;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;32
Sudeste;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;549
Sudeste;2º trimestre 2023;Ensino fundamental completo ou equivalente;310
Sudeste;2º trimestre 2023;Ensino médio incompleto ou equivalente;498
Sudeste;2º trimestre 2023;Ensino médio completo ou equivalente;1650
Sudeste;2º trimestre 2023;Ensino superior incompleto ou equivalente;263
Sudeste;2º trimestre 2023;Ensino superior completo ou equivalente;446
Sudeste;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;44
Sudeste;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;532
Sudeste;3º trimestre 2023;Ensino fundamental completo ou equivalente;330
Sudeste;3º trimestre 2023;Ensino médio incompleto ou equivalente;476
Sudeste;3º trimestre 2023;Ensino médio completo ou equivalente;1534
Sudeste;3º trimestre 2023;Ensino superior incompleto ou equivalente;251
Sudeste;3º trimestre 2023;Ensino superior completo ou equivalente;395
Sudeste;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;36
Sudeste;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;561
Sudeste;4º trimestre 2023;Ensino fundamental completo ou equivalente;318
Sudeste;4º trimestre 2023;Ensino médio incompleto ou equivalente;437
Sudeste;4º trimestre 2023;Ensino médio completo ou equivalente;1408
Sudeste;4º trimestre 2023;Ensino superior incompleto ou equivalente;215
Sudeste;4º trimestre 2023;Ensino superior completo ou equivalente;427
Sudeste;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;37
Sudeste;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;549
Sudeste;1º trimestre 2024;Ensino fundamental completo ou equivalente;306
Sudeste;1º trimestre 2024;Ensino médio incompleto ou equivalente;447
Sudeste;1º trimestre 2024;Ensino médio completo ou equivalente;1513
Sudeste;1º trimestre 2024;Ensino superior incompleto ou equivalente;278
Sudeste;1º trimestre 2024;Ensino superior completo ou equivalente;507
Sudeste;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;27
Sudeste;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;473
Sudeste;2º trimestre 2024;Ensino fundamental completo ou equivalente;254
Sudeste;2º trimestre 2024;Ensino médio incompleto ou equivalente;383
Sudeste;2º trimestre 2024;Ensino médio completo ou equivalente;1414
Sudeste;2º trimestre 2024;Ensino superior incompleto ou equivalente;212
Sudeste;2º trimestre 2024;Ensino superior completo ou equivalente;428
Sudeste;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;36
Sudeste;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;422
Sudeste;3º trimestre 2024;Ensino fundamental completo ou equivalente;278
Sudeste;3º trimestre 2024;Ensino médio incompleto ou equivalente;341
Sudeste;3º trimestre 2024;Ensino médio completo ou equivalente;1292
Sudeste;3º trimestre 2024;Ensino superior incompleto ou equivalente;207
Sudeste;3º trimestre 2024;Ensino superior completo ou equivalente;383
Sudeste;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;34
Sudeste;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;418
Sudeste;4º trimestre 2024;Ensino fundamental completo ou equivalente;244
Sudeste;4º trimestre 2024;Ensino médio incompleto ou equivalente;317
Sudeste;4º trimestre 2024;Ensino médio completo ou equivalente;1210
Sudeste;4º trimestre 2024;Ensino superior incompleto ou equivalente;200
Sudeste;4º trimestre 2024;Ensino superior completo ou equivalente;410
Sudeste;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;32
Sudeste;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;410
Sudeste;1º trimestre 2025;Ensino fundamental completo ou equivalente;227
Sudeste;1º trimestre 2025;Ensino médio incompleto ou equivalente;330
Sudeste;1º trimestre 2025;Ensino médio completo ou equivalente;1444
Sudeste;1º trimestre 2025;Ensino superior incompleto ou equivalente;251
Sudeste;1º trimestre 2025;Ensino superior completo ou equivalente;483
Sudeste;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;17
Sudeste;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;333
Sudeste;2º trimestre 2025;Ensino fundamental completo ou equivalente;179
Sudeste;2º trimestre 2025;Ensino médio incompleto ou equivalente;273
Sudeste;2º trimestre 2025;Ensino médio completo ou equivalente;1175
Sudeste;2º trimestre 2025;Ensino superior incompleto ou equivalente;185
Sudeste;2º trimestre 2025;Ensino superior completo ou equivalente;416
Sul;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;6
Sul;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;175
Sul;1º trimestre 2015;Ensino fundamental completo ou equivalente;123
Sul;1º trimestre 2015;Ensino médio incompleto ou equivalente;101
Sul;1º trimestre 2015;Ensino médio completo ou equivalente;254
Sul;1º trimestre 2015;Ensino superior incompleto ou equivalente;65
Sul;1º trimestre 2015;Ensino superior completo ou equivalente;74
Sul;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;8
Sul;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;196
Sul;2º trimestre 2015;Ensino fundamental completo ou equivalente;140
Sul;2º trimestre 2015;Ensino médio incompleto ou equivalente;109
Sul;2º trimestre 2015;Ensino médio completo ou equivalente;287
Sul;2º trimestre 2015;Ensino superior incompleto ou equivalente;60
Sul;2º trimestre 2015;Ensino superior completo ou equivalente;64
Sul;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;7
Sul;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;218
Sul;3º trimestre 2015;Ensino fundamental completo ou equivalente;163
Sul;3º trimestre 2015;Ensino médio incompleto ou equivalente;122
Sul;3º trimestre 2015;Ensino médio completo ou equivalente;290
Sul;3º trimestre 2015;Ensino superior incompleto ou equivalente;61
Sul;3º trimestre 2015;Ensino superior completo ou equivalente;78
Sul;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;12
Sul;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;230
Sul;4º trimestre 2015;Ensino fundamental completo ou equivalente;134
Sul;4º trimestre 2015;Ensino médio incompleto ou equivalente;115
Sul;4º trimestre 2015;Ensino médio completo ou equivalente;263
Sul;4º trimestre 2015;Ensino superior incompleto ou equivalente;68
Sul;4º trimestre 2015;Ensino superior completo ou equivalente;85
Sul;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;8
Sul;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;246
Sul;1º trimestre 2016;Ensino fundamental completo ou equivalente;167
Sul;1º trimestre 2016;Ensino médio incompleto ou equivalente;163
Sul;1º trimestre 2016;Ensino médio completo ou equivalente;384
Sul;1º trimestre 2016;Ensino superior incompleto ou equivalente;92
Sul;1º trimestre 2016;Ensino superior completo ou equivalente;111
Sul;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;19
Sul;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;275
Sul;2º trimestre 2016;Ensino fundamental completo ou equivalente;200
Sul;2º trimestre 2016;Ensino médio incompleto ou equivalente;175
Sul;2º trimestre 2016;Ensino médio completo ou equivalente;400
Sul;2º trimestre 2016;Ensino superior incompleto ou equivalente;100
Sul;2º trimestre 2016;Ensino superior completo ou equivalente;105
Sul;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;10
Sul;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;283
Sul;3º trimestre 2016;Ensino fundamental completo ou equivalente;204
Sul;3º trimestre 2016;Ensino médio incompleto ou equivalente;164
Sul;3º trimestre 2016;Ensino médio completo ou equivalente;387
Sul;3º trimestre 2016;Ensino superior incompleto ou equivalente;94
Sul;3º trimestre 2016;Ensino superior completo ou equivalente;102
Sul;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;20
Sul;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;304
Sul;4º trimestre 2016;Ensino fundamental completo ou equivalente;178
Sul;4º trimestre 2016;Ensino médio incompleto ou equivalente;164
Sul;4º trimestre 2016;Ensino médio completo ou equivalente;371
Sul;4º trimestre 2016;Ensino superior incompleto ou equivalente;89
Sul;4º trimestre 2016;Ensino superior completo ou equivalente;98
Sul;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;12
Sul;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;385
Sul;1º trimestre 2017;Ensino fundamental completo ou equivalente;224
Sul;1º trimestre 2017;Ensino médio incompleto ou equivalente;178
Sul;1º trimestre 2017;Ensino médio completo ou equivalente;452
Sul;1º trimestre 2017;Ensino superior incompleto ou equivalente;109
Sul;1º trimestre 2017;Ensino superior completo ou equivalente;129
Sul;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;12
Sul;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;349
Sul;2º trimestre 2017;Ensino fundamental completo ou equivalente;197
Sul;2º trimestre 2017;Ensino médio incompleto ou equivalente;188
Sul;2º trimestre 2017;Ensino médio completo ou equivalente;384
Sul;2º trimestre 2017;Ensino superior incompleto ou equivalente;95
Sul;2º trimestre 2017;Ensino superior completo ou equivalente;116
Sul;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;10
Sul;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;295
Sul;3º trimestre 2017;Ensino fundamental completo ou equivalente;186
Sul;3º trimestre 2017;Ensino médio incompleto ou equivalente;189
Sul;3º trimestre 2017;Ensino médio completo ou equivalente;383
Sul;3º trimestre 2017;Ensino superior incompleto ou equivalente;93
Sul;3º trimestre 2017;Ensino superior completo ou equivalente;107
Sul;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;10
Sul;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;301
Sul;4º trimestre 2017;Ensino fundamental completo ou equivalente;186
Sul;4º trimestre 2017;Ensino médio incompleto ou equivalente;190
Sul;4º trimestre 2017;Ensino médio completo ou equivalente;358
Sul;4º trimestre 2017;Ensino superior incompleto ou equivalente;85
Sul;4º trimestre 2017;Ensino superior completo ou equivalente;109
Sul;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;17
Sul;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;319
Sul;1º trimestre 2018;Ensino fundamental completo ou equivalente;164
Sul;1º trimestre 2018;Ensino médio incompleto ou equivalente;189
Sul;1º trimestre 2018;Ensino médio completo ou equivalente;421
Sul;1º trimestre 2018;Ensino superior incompleto ou equivalente;105
Sul;1º trimestre 2018;Ensino superior completo ou equivalente;134
Sul;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;12
Sul;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;305
Sul;2º trimestre 2018;Ensino fundamental completo ou equivalente;179
Sul;2º trimestre 2018;Ensino médio incompleto ou equivalente;187
Sul;2º trimestre 2018;Ensino médio completo ou equivalente;404
Sul;2º trimestre 2018;Ensino superior incompleto ou equivalente;96
Sul;2º trimestre 2018;Ensino superior completo ou equivalente;116
Sul;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;12
Sul;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;300
Sul;3º trimestre 2018;Ensino fundamental completo ou equivalente;174
Sul;3º trimestre 2018;Ensino médio incompleto ou equivalente;171
Sul;3º trimestre 2018;Ensino médio completo ou equivalente;413
Sul;3º trimestre 2018;Ensino superior incompleto ou equivalente;84
Sul;3º trimestre 2018;Ensino superior completo ou equivalente;111
Sul;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;11
Sul;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;313
Sul;4º trimestre 2018;Ensino fundamental completo ou equivalente;164
Sul;4º trimestre 2018;Ensino médio incompleto ou equivalente;157
Sul;4º trimestre 2018;Ensino médio completo ou equivalente;352
Sul;4º trimestre 2018;Ensino superior incompleto ou equivalente;79
Sul;4º trimestre 2018;Ensino superior completo ou equivalente;108
Sul;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;15
Sul;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;277
Sul;1º trimestre 2019;Ensino fundamental completo ou equivalente;173
Sul;1º trimestre 2019;Ensino médio incompleto ou equivalente;193
Sul;1º trimestre 2019;Ensino médio completo ou equivalente;433
Sul;1º trimestre 2019;Ensino superior incompleto ou equivalente;111
Sul;1º trimestre 2019;Ensino superior completo ou equivalente;130
Sul;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;10
Sul;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;295
Sul;2º trimestre 2019;Ensino fundamental completo ou equivalente;179
Sul;2º trimestre 2019;Ensino médio incompleto ou equivalente;201
Sul;2º trimestre 2019;Ensino médio completo ou equivalente;414
Sul;2º trimestre 2019;Ensino superior incompleto ou equivalente;95
Sul;2º trimestre 2019;Ensino superior completo ou equivalente;116
Sul;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;11
Sul;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;340
Sul;3º trimestre 2019;Ensino fundamental completo ou equivalente;189
Sul;3º trimestre 2019;Ensino médio incompleto ou equivalente;181
Sul;3º trimestre 2019;Ensino médio completo ou equivalente;386
Sul;3º trimestre 2019;Ensino superior incompleto ou equivalente;103
Sul;3º trimestre 2019;Ensino superior completo ou equivalente;127
Sul;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;10
Sul;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;256
Sul;4º trimestre 2019;Ensino fundamental completo ou equivalente;164
Sul;4º trimestre 2019;Ensino médio incompleto ou equivalente;162
Sul;4º trimestre 2019;Ensino médio completo ou equivalente;339
Sul;4º trimestre 2019;Ensino superior incompleto ou equivalente;80
Sul;4º trimestre 2019;Ensino superior completo ou equivalente;109
Sul;1º trimestre 2022;Sem instrução e menos de 1 ano de estudo;...
Sul;1º trimestre 2022;Ensino fundamental incompleto ou equivalente;...
Sul;1º trimestre 2022;Ensino fundamental completo ou equivalente;...
Sul;1º trimestre 2022;Ensino médio incompleto ou equivalente;...
Sul;1º trimestre 2022;Ensino médio completo ou equivalente;...
Sul;1º trimestre 2022;Ensino superior incompleto ou equivalente;...
Sul;1º trimestre 2022;Ensino superior completo ou equivalente;...
Sul;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;9
Sul;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;193
Sul;2º trimestre 2022;Ensino fundamental completo ou equivalente;112
Sul;2º trimestre 2022;Ensino médio incompleto ou equivalente;130
Sul;2º trimestre 2022;Ensino médio completo ou equivalente;308
Sul;2º trimestre 2022;Ensino superior incompleto ou equivalente;68
Sul;2º trimestre 2022;Ensino superior completo ou equivalente;102
Sul;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;10
Sul;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;177
Sul;3º trimestre 2022;Ensino fundamental completo ou equivalente;123
Sul;3º trimestre 2022;Ensino médio incompleto ou equivalente;130
Sul;3º trimestre 2022;Ensino médio completo ou equivalente;284
Sul;3º trimestre 2022;Ensino superior incompleto ou equivalente;58
Sul;3º trimestre 2022;Ensino superior completo ou equivalente;78
Sul;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;4
Sul;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;156
Sul;4º trimestre 2022;Ensino fundamental completo ou equivalente;95
Sul;4º trimestre 2022;Ensino médio incompleto ou equivalente;109
Sul;4º trimestre 2022;Ensino médio completo ou equivalente;236
Sul;4º trimestre 2022;Ensino superior incompleto ou equivalente;57
Sul;4º trimestre 2022;Ensino superior completo ou equivalente;86
Sul;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;9
Sul;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;141
Sul;1º trimestre 2023;Ensino fundamental completo ou equivalente;107
Sul;1º trimestre 2023;Ensino médio incompleto ou equivalente;123
Sul;1º trimestre 2023;Ensino médio completo ou equivalente;287
Sul;1º trimestre 2023;Ensino superior incompleto ou equivalente;64
Sul;1º trimestre 2023;Ensino superior completo ou equivalente;93
Sul;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;9
Sul;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;130
Sul;2º trimestre 2023;Ensino fundamental completo ou equivalente;96
Sul;2º trimestre 2023;Ensino médio incompleto ou equivalente;124
Sul;2º trimestre 2023;Ensino médio completo ou equivalente;273
Sul;2º trimestre 2023;Ensino superior incompleto ou equivalente;56
Sul;2º trimestre 2023;Ensino superior completo ou equivalente;88
Sul;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;9
Sul;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;131
Sul;3º trimestre 2023;Ensino fundamental completo ou equivalente;94
Sul;3º trimestre 2023;Ensino médio incompleto ou equivalente;125
Sul;3º trimestre 2023;Ensino médio completo ou equivalente;264
Sul;3º trimestre 2023;Ensino superior incompleto ou equivalente;61
Sul;3º trimestre 2023;Ensino superior completo ou equivalente;84
Sul;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;12
Sul;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;133
Sul;4º trimestre 2023;Ensino fundamental completo ou equivalente;100
Sul;4º trimestre 2023;Ensino médio incompleto ou equivalente;121
Sul;4º trimestre 2023;Ensino médio completo ou equivalente;248
Sul;4º trimestre 2023;Ensino superior incompleto ou equivalente;55
Sul;4º trimestre 2023;Ensino superior completo ou equivalente;87
Sul;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;13
Sul;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;143
Sul;1º trimestre 2024;Ensino fundamental completo ou equivalente;100
Sul;1º trimestre 2024;Ensino médio incompleto ou equivalente;132
Sul;1º trimestre 2024;Ensino médio completo ou equivalente;264
Sul;1º trimestre 2024;Ensino superior incompleto ou equivalente;81
Sul;1º trimestre 2024;Ensino superior completo ou equivalente;99
Sul;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;14
Sul;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;134
Sul;2º trimestre 2024;Ensino fundamental completo ou equivalente;97
Sul;2º trimestre 2024;Ensino médio incompleto ou equivalente;118
Sul;2º trimestre 2024;Ensino médio completo ou equivalente;255
Sul;2º trimestre 2024;Ensino superior incompleto ou equivalente;63
Sul;2º trimestre 2024;Ensino superior completo ou equivalente;100
Sul;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;12
Sul;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;117
Sul;3º trimestre 2024;Ensino fundamental completo ou equivalente;91
Sul;3º trimestre 2024;Ensino médio incompleto ou equivalente;104
Sul;3º trimestre 2024;Ensino médio completo ou equivalente;230
Sul;3º trimestre 2024;Ensino superior incompleto ou equivalente;52
Sul;3º trimestre 2024;Ensino superior completo ou equivalente;85
Sul;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;9
Sul;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;116
Sul;4º trimestre 2024;Ensino fundamental completo ou equivalente;62
Sul;4º trimestre 2024;Ensino médio incompleto ou equivalente;93
Sul;4º trimestre 2024;Ensino médio completo ou equivalente;193
Sul;4º trimestre 2024;Ensino superior incompleto ou equivalente;48
Sul;4º trimestre 2024;Ensino superior completo ou equivalente;87
Sul;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;7
Sul;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;126
Sul;1º trimestre 2025;Ensino fundamental completo ou equivalente;74
Sul;1º trimestre 2025;Ensino médio incompleto ou equivalente;104
Sul;1º trimestre 2025;Ensino médio completo ou equivalente;250
Sul;1º trimestre 2025;Ensino superior incompleto ou equivalente;61
Sul;1º trimestre 2025;Ensino superior completo ou equivalente;100
Sul;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;7
Sul;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;103
Sul;2º trimestre 2025;Ensino fundamental completo ou equivalente;64
Sul;2º trimestre 2025;Ensino médio incompleto ou equivalente;84
Sul;2º trimestre 2025;Ensino médio completo ou equivalente;223
Sul;2º trimestre 2025;Ensino superior incompleto ou equivalente;41
Sul;2º trimestre 2025;Ensino superior completo ou equivalente;89
Centro-Oeste;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;8
Centro-Oeste;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;140
Centro-Oeste;1º trimestre 2015;Ensino fundamental completo ou equivalente;76
Centro-Oeste;1º trimestre 2015;Ensino médio incompleto ou equivalente;75
Centro-Oeste;1º trimestre 2015;Ensino médio completo ou equivalente;174
Centro-Oeste;1º trimestre 2015;Ensino superior incompleto ou equivalente;47
Centro-Oeste;1º trimestre 2015;Ensino superior completo ou equivalente;60
Centro-Oeste;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;8
Centro-Oeste;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;125
Centro-Oeste;2º trimestre 2015;Ensino fundamental completo ou equivalente;86
Centro-Oeste;2º trimestre 2015;Ensino médio incompleto ou equivalente;78
Centro-Oeste;2º trimestre 2015;Ensino médio completo ou equivalente;185
Centro-Oeste;2º trimestre 2015;Ensino superior incompleto ou equivalente;49
Centro-Oeste;2º trimestre 2015;Ensino superior completo ou equivalente;58
Centro-Oeste;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;9
Centro-Oeste;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;149
Centro-Oeste;3º trimestre 2015;Ensino fundamental completo ou equivalente;88
Centro-Oeste;3º trimestre 2015;Ensino médio incompleto ou equivalente;73
Centro-Oeste;3º trimestre 2015;Ensino médio completo ou equivalente;168
Centro-Oeste;3º trimestre 2015;Ensino superior incompleto ou equivalente;53
Centro-Oeste;3º trimestre 2015;Ensino superior completo ou equivalente;62
Centro-Oeste;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;15
